Bin information for iteration 66
1064 segments
277 bins total, 0 targets, 133 (48.014%) occupied
Minimum probability by bin:     4.32982621986613508e-35
Maximum probability by bin:     8.29394576099521386e-01
Dynamic range (by bin):         78.9379 kT
Minimum probability by segment: 5.41228277483266818e-36
Maximum probability by segment: 1.14571839145972576e-01
Dynamic range (by segment):     79.0378 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
   151         8    1.87004006887188768e-29    2.27314594237713692e-30    2.78837909207891802e-30         1.22666    [(4.7, 4.800000000000001), (2.0, 4.0)]
   152         8    7.45196625475675458e-29    8.11097896591078618e-30    1.21664684488661800e-29         1.50000    [(4.7, 4.800000000000001), (4.0, 6.0)]
   153         8    8.09005439294127999e-29    8.11097896591078618e-30    1.41523737383164351e-29         1.74484    [(4.7, 4.800000000000001), (6.0, 8.0)]
   154         8    5.05316503148247614e-29    6.31577653240935082e-30    6.32121458795930153e-30         1.00086    [(4.7, 4.800000000000001), (8.0, 10)]
   155         8    2.78311450018244655e-28    3.25821369378855359e-29    5.02364914530459205e-29         1.54184    [(4.8, 4.9), (0.0, 2.0)]
   156         8    5.67423183392270721e-29    6.73310760693007318e-30    9.09258376950854768e-30         1.35043    [(4.8, 4.9), (2.0, 4.0)]
   157         8    3.83056071738008108e-29    4.05548948295539309e-30    8.11097896591078618e-30         2.00000    [(4.8, 4.9), (4.0, 6.0)]
   158         8    3.00008125022442183e-27    3.71389582189639531e-28    4.00354174896945334e-28         1.07799    [(4.8, 4.9), (6.0, 8.0)]
   159         8    5.05371924923861930e-29    6.31577653240935082e-30    6.32675676552073033e-30         1.00174    [(4.8, 4.9), (8.0, 10)]
   160         8    2.55210727186722027e-28    2.85236939717897658e-29    4.52922973815066930e-29         1.58788    [(4.9, 5.0), (0.0, 2.0)]
   161         8    7.42985607370984103e-29    3.79848430216113635e-30    1.51939372086445454e-29         4.00000    [(4.9, 5.0), (2.0, 4.0)]
   162         8    6.85157754460403079e-27    6.16972343057547552e-28    1.23394468611509510e-27         2.00000    [(4.9, 5.0), (4.0, 6.0)]
   163         8    1.00958686975161700e-26    1.03566153536254874e-27    2.04106059069286309e-27         1.97078    [(4.9, 5.0), (6.0, 8.0)]
   164         8    1.35402954379183166e-28    1.41416739311179755e-29    2.82746469733560288e-29         1.99938    [(4.9, 5.0), (8.0, 10)]
   165         8    1.77279604288997632e-27    1.83480791065274286e-28    2.86029774309280729e-28         1.55891    [(5.0, 5.1), (0.0, 2.0)]
   166         8    7.39627848570509834e-28    7.56951877053923744e-29    1.42618469858948829e-28         1.88412    [(5.0, 5.1), (2.0, 4.0)]
   167         8    1.07526198890926233e-26    1.03566153536254874e-27    1.87247815393459408e-27         1.80800    [(5.0, 5.1), (4.0, 6.0)]
   168         8    1.01219877963713043e-26    1.03566153536254874e-27    2.07132307072509748e-27         2.00000    [(5.0, 5.1), (6.0, 8.0)]
   169         8    8.81892488757741800e-28    9.44617623641978420e-29    1.48228198228710361e-28         1.56919    [(5.0, 5.1), (8.0, 10)]
   170         8    1.27728871644694198e-27    1.22106434069091237e-28    2.60657095503084287e-28         2.13467    [(5.1, 5.2), (0.0, 2.0)]
   171         8    2.94586525087096848e-27    2.60657095503084287e-28    5.14968879895670812e-28         1.97566    [(5.1, 5.2), (2.0, 4.0)]
   172         8    6.38517632316928679e-23    7.98094580183281533e-24    7.98514261886315915e-24         1.00053    [(5.1, 5.2), (4.0, 6.0)]
   173         8    5.11752942009521622e-23    6.29522582854820164e-24    7.00511800092004736e-24         1.11277    [(5.1, 5.2), (6.0, 8.0)]
   174         8    1.75697521697044217e-27    1.48228198228710361e-28    3.07304288144003673e-28         2.07318    [(5.1, 5.2), (8.0, 10)]
   175         8    8.21156012589732738e-24    9.12387487247463499e-25    1.82477497449492700e-24         2.00000    [(5.2, 5.300000000000001), (0.0, 2.0)]
   176         8    8.09669766183277007e-23    9.12108091638036058e-24    1.52855058379206866e-23         1.67584    [(5.2, 5.300000000000001), (2.0, 4.0)]
   177         8    2.21693703816466202e-22    2.12825221382208409e-23    4.25650442764416817e-23         2.00000    [(5.2, 5.300000000000001), (4.0, 6.0)]
   178         8    6.52582547505613381e-22    7.12990504303511339e-23    1.42598100860702268e-22         2.00000    [(5.2, 5.300000000000001), (6.0, 8.0)]
   179         8    1.64371478288312789e-27    8.48239409200680920e-29    3.52665660933587401e-28         4.15762    [(5.2, 5.300000000000001), (8.0, 10)]
   180         8    2.73822600196071203e-24    3.42145307717798789e-25    3.43208847936120780e-25         1.00311    [(5.3, 5.4), (0.0, 2.0)]
   181         8    4.99322133176172526e-23    5.39846396554297319e-24    1.19892814854893672e-23         2.22087    [(5.3, 5.4), (2.0, 4.0)]
   182         8    1.22426229354635872e-21    1.18783276667099745e-22    2.14056837272292039e-22         1.80208    [(5.3, 5.4), (4.0, 6.0)]
   183         8    1.32222896389100883e-22    1.25904516570964033e-23    2.18972996939391225e-23         1.73920    [(5.3, 5.4), (6.0, 8.0)]
   184         8    2.86183009360850744e-23    3.57482357310245830e-24    3.59453592436786706e-24         1.00551    [(5.3, 5.4), (8.0, 10)]
   185         8    3.79409696746844228e-23    4.49871997128581074e-24    5.47432492348478063e-24         1.21686    [(5.4, 5.5), (0.0, 2.0)]
   186         8    1.64136767643366584e-22    1.88100175560238503e-23    2.69923198277148645e-23         1.43500    [(5.4, 5.5), (2.0, 4.0)]
   187         8    9.29270618971391692e-20    1.14140301766186293e-20    1.30288506608087699e-20         1.14148    [(5.4, 5.5), (4.0, 6.0)]
   188         8    1.17212320942985642e-21    1.01814237143228365e-22    2.22466819388873266e-22         2.18503    [(5.4, 5.5), (6.0, 8.0)]
   189         8    5.00465735685038038e-23    5.39590785304131558e-24    1.07918157060826312e-23         2.00000    [(5.4, 5.5), (8.0, 10)]
   190         8    2.69924612069389639e-23    3.37405765086737049e-24    3.37405765086737049e-24         1.00000    [(5.5, 5.6), (0.0, 2.0)]
   191         8    1.32136203393702501e-21    1.03632868756501784e-22    3.06433809021952524e-22         2.95692    [(5.5, 5.6), (2.0, 4.0)]
   192         8    3.31662267897351667e-21    3.11110667251086964e-22    6.22221334502173928e-22         2.00000    [(5.5, 5.6), (4.0, 6.0)]
   193         8    1.35125384878143434e-21    1.01814237143228365e-22    2.14056837272292039e-22         2.10243    [(5.5, 5.6), (6.0, 8.0)]
   194         8    1.94392652783576311e-22    2.15836314121652623e-23    4.05543010467557179e-23         1.87894    [(5.5, 5.6), (8.0, 10)]
   195         8    6.53256282044804265e-24    8.16570352556005240e-25    8.16570352556005240e-25         1.00000    [(5.6, 5.7), (0.0, 2.0)]
   196         8    4.88721043609689048e-20    5.70701508830931466e-21    8.92299874280370288e-21         1.56351    [(5.6, 5.7), (2.0, 4.0)]
   197         8    3.25422974275871286e-19    3.23101385256848577e-20    6.39305668205678946e-20         1.97865    [(5.6, 5.7), (4.0, 6.0)]
