Bin information for iteration 251
960 segments
206 bins total, 0 targets, 120 (58.252%) occupied
Minimum probability by bin:     5.01359613556285710e-72
Maximum probability by bin:     1.00000000000000000e+00
Dynamic range (by bin):         164.174 kT
Minimum probability by segment: 6.26699516945357012e-73
Maximum probability by segment: 1.77269362199033942e-01
Dynamic range (by segment):     164.523 kT
Norm = 1, error in norm = -1.11022e-16 (0 epsilon)

 Index     Count    Total weight               Min seg weight             Max seg weight             Weight ratio    Label
   117         8    4.82419075418031654e-68    4.75541591354660575e-69    7.62025715397135542e-69         1.60244    [(2.37, 2.375)]
   118         8    1.19532661515123323e-67    1.23066774982089028e-68    2.46133549964178055e-68         2.00000    [(2.375, 2.38)]
   119         8    4.74785888950348283e-68    5.16415899604137028e-69    1.03283179920827406e-68         2.00000    [(2.38, 2.385)]
   120         8    6.77810344216234045e-70    7.79892732198666656e-71    1.31885431677167370e-70         1.69107    [(2.385, 2.39)]
   121         8    1.13834121377146615e-68    1.15751900253938362e-69    1.86944965378930918e-69         1.61505    [(2.39, 2.395)]
   122         8    2.61619158106731114e-68    1.35637208646545795e-69    4.75541591354660575e-69         3.50598    [(2.395, 2.4)]
   123         8    1.78588855646863766e-67    1.96858826431329730e-68    3.93717652862659459e-68         2.00000    [(2.4, 2.4050000000000002)]
   124         8    1.57536746117304696e-68    1.83673865593510888e-69    2.89650402018470775e-69         1.57698    [(2.405, 2.41)]
   125         8    4.36446400124602067e-68    3.75708312569463490e-69    9.47612563495099965e-69         2.52220    [(2.41, 2.415)]
   126         8    2.77554738113179725e-69    3.02395038952887229e-70    4.98239218122406844e-70         1.64764    [(2.415, 2.42)]
   127         8    3.23594663679334562e-68    3.40331140806683884e-69    6.80662281613367769e-69         2.00000    [(2.42, 2.425)]
   128         8    2.63870058726226567e-68    2.24609106873215992e-69    6.50276933592041578e-69         2.89515    [(2.425, 2.43)]
   129         8    1.24982793058087928e-67    1.19235998725587154e-68    2.38471997451174308e-68         2.00000    [(2.43, 2.435)]
   130         8    3.09861453157667705e-68    3.55908933420467314e-69    6.07251997633405750e-69         1.70620    [(2.435, 2.44)]
   131         8    5.10757545404570968e-68    5.70071113776190728e-69    9.47612563495099965e-69         1.66227    [(2.44, 2.445)]
   132         8    1.27572958520552697e-67    1.12712493770839047e-68    2.83750961140340800e-68         2.51748    [(2.445, 2.45)]
   133         8    1.27515146965297790e-67    1.46020367817540076e-68    2.53008894930197285e-68         1.73270    [(2.45, 2.455)]
   134         8    1.87179275427052010e-68    1.77222604443505757e-69    3.54445208887011515e-69         2.00000    [(2.455, 2.46)]
   135         8    2.99376323191328255e-67    3.27664657527887156e-68    6.63891726116015790e-68         2.02613    [(2.46, 2.465)]
   136         8    5.94477268597324427e-68    6.16712395159839150e-69    1.23342479031967830e-68         2.00000    [(2.465, 2.47)]
   137         8    1.21183922069282037e-67    1.24791377798642939e-68    2.40994086481930606e-68         1.93118    [(2.47, 2.475)]
   138         8    6.65938555290707310e-68    7.22982259445791798e-69    1.25264028035056067e-68         1.73260    [(2.475, 2.48)]
   139         8    1.28607939908741773e-67    1.19554114914283994e-68    2.83750961140340800e-68         2.37341    [(2.48, 2.485)]
   140         8    2.82055466119317495e-67    2.39476892665357398e-68    5.59239768147777499e-68         2.33526    [(2.485, 2.49)]
   141         8    8.50599874541607763e-68    8.96655861857129952e-69    1.79331172371425990e-68         2.00000    [(2.49, 2.495)]
   142         8    9.05118492804713797e-68    9.96257056644453140e-69    1.67231592698499837e-68         1.67860    [(2.495, 2.5)]
